name1,name2,Sd,Nd,S,N,pS,pN
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_AY323490,113.0,14.0,434.9999999999986,1428.0000000000027,0.2597701149425296,0.009803921568627432
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_MG720085,123.0,14.0,434.333333333332,1428.6666666666695,0.28319263238680054,0.009799346710219299
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_MG720086,112.0,17.0,433.49999999999864,1429.5000000000027,0.2583621683967713,0.011892270024484062
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_GGEV+TSEV_DQ235153,343.00000000000006,171.0,434.33333333333223,1428.6666666666686,0.789716039907907,0.11969202053196437
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_GGEV+TSEV_DQ235151,347.1666666666667,170.83333333333334,435.499999999999,1427.5000000000018,0.7971680061232319,0.11967308814944527
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_GGV_subtype_GGV1_DQ235145,364.00000000000006,232.0,430.16666666666555,1432.8333333333344,0.846183649748162,0.16191694777247864
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_GGV_subtype_GGV2_MN830233,349.0,223.0,430.66666666666555,1432.3333333333342,0.8103715170278659,0.1556900162904351
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Karshi_subtype_Karshi1_AY863002,348.6666666666667,245.33333333333331,430.3333333333324,1429.6666666666683,0.810224632068166,0.1716017719748191
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Karshi_subtype_Karshi2_DQ462443,338.16666666666674,250.83333333333334,429.8333333333325,1430.1666666666686,0.7867390461419171,0.17538748397622633
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Karshi_subtype_Karshi3_MH688511,334.1666666666667,253.83333333333334,430.33333333333246,1429.666666666668,0.7765298218435338,0.17754721380275104
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Langat_subtype_Langat_AF253419,348.3333333333333,177.66666666666666,433.49999999999915,1429.5000000000016,0.8035371011149574,0.12428588084411785
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Langat_subtype_Langat_MK680893,349.8333333333333,175.16666666666666,432.16666666666583,1430.8333333333348,0.8094870806016212,0.12242283051834582
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MG243699,357.3333333333333,175.66666666666666,433.99999999999903,1429.0000000000011,0.8233486943164381,0.12292978773034746
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_KF056331,353.83333333333337,174.16666666666669,433.1666666666658,1429.8333333333348,0.8168526356290898,0.1218090686560204
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_KJ495985,349.33333333333337,175.66666666666669,431.3333333333324,1431.6666666666683,0.8098918083462151,0.1227008149010476
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MK007532,358.16666666666674,172.83333333333334,431.9999999999991,1431.0000000000016,0.8290895061728414,0.12077801071511751
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MK007533,356.33333333333337,172.66666666666669,433.1666666666657,1429.8333333333348,0.8226240861869969,0.1207599953374518
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MK007534,346.33333333333337,174.66666666666669,432.1666666666658,1430.8333333333348,0.8013883532587753,0.12207338380896901
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MK007539,353.1666666666667,171.83333333333334,431.9999999999991,1431.0000000000014,0.8175154320987672,0.1200791986955508
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MK007540,353.50000000000006,173.5,432.66666666666583,1430.3333333333348,0.8170261941448399,0.12130039617804694
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MK007544,343.6666666666667,171.33333333333331,432.33333333333235,1430.6666666666683,0.7949113338473419,0.11975768872320582
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_MN844186,350.16666666666674,172.83333333333334,432.6666666666657,1430.3333333333348,0.809322033898307,0.1208343043579584
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_NC001809,353.33333333333337,172.66666666666669,431.6666666666657,1431.333333333335,0.8185328185328204,0.12063344201210979
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_KP144332,349.5,172.5,432.6666666666657,1430.3333333333346,0.8077812018490003,0.12060125844791413
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_LIV_DQ235152,349.66666666666674,165.33333333333334,434.999999999999,1428.0000000000023,0.8038314176245231,0.11577964519140972
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk1_AB507800,335.33333333333337,179.66666666666666,434.99999999999903,1428.0000000000014,0.7708812260536416,0.12581699346405217
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk1_MT354616,332.6666666666667,187.33333333333334,433.499999999999,1429.5000000000014,0.7673971549404094,0.13104815203451078
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk2_AY193805,334.0,188.0,434.1666666666658,1428.8333333333344,0.7692898272552798,0.13157587775574467
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk2_MT354615,338.6666666666667,186.33333333333334,434.4999999999992,1428.500000000001,0.7794399693133885,0.13043985532609956
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk2_MT354618,329.1666666666667,188.83333333333334,433.16666666666583,1429.8333333333344,0.759907656791075,0.13206667443758005
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk2_OL689364,332.6666666666667,184.33333333333334,434.16666666666583,1428.8333333333344,0.7662188099808076,0.12900968155838088
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_TBEV_subtype_Omsk2_OP292291,330.83333333333337,189.16666666666669,433.16666666666583,1429.8333333333344,0.7637552904963463,0.13229980184170642
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Powassan_subtype_Powassan1_HM440558,364.33333333333337,204.66666666666669,432.6666666666656,1430.3333333333346,0.842064714946073,0.14309018876718702
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Powassan_subtype_Powassan1_HM440559,360.66666666666663,199.33333333333334,432.999999999999,1430.0000000000016,0.8329484218629734,0.13939393939393924
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Powassan_subtype_Powassan2_EU543649,335.1666666666667,207.83333333333334,432.6666666666657,1430.3333333333344,0.7746533127889077,0.1453041249126077
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Powassan_subtype_Powassan2_HM440563,348.5,204.5,430.9999999999991,1432.0000000000014,0.8085846867749437,0.14280726256983226
genus_mammalflavi_species_Alkh+Kya_subtype_Alkh+Kya_JF416966,genus_mammalflavi_species_Royalfarm_subtype_Royalfarm_DQ235149,366.66666666666663,226.3333333333333,429.8333333333323,1430.1666666666686,0.8530438154323401,0.1582566134483158
